School,LocCity,MailCity,County,Teachers,Grade7,Grade8,Grade9,Grade10,Grade11,Grade12,Ungraded,PreTotal,ElemTotal,HSTotal,STRatio
WEBBERS FALLS HS,WEBBERS FALLS,WEBBERS FALLS,MUSKOGEE COUNTY,7,,,24,24,19,19,,,,86,12.29
WEBSTER ES,EL RENO,EL RENO,CANADIAN COUNTY,10.8,,,,,,,,,162,,15
WEBSTER MS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,42,263,208,,,,,,,678,,16.14
WELCH ES,WELCH,WELCH,CRAIG COUNTY,15.4,,,,,,,,52,161,,13.83
WELCH JR-SR HS (JR),WELCH,WELCH,CRAIG COUNTY,5,23,26,,,,,,,49,,9.8
WELCH JR-SR HS (SR),WELCH,WELCH,CRAIG COUNTY,11.6,,,34,34,27,28,,,,123,10.6
WELEETKA HS,WELEETKA,WELEETKA,OKFUSKEE COUNTY,12.4,,,,33,24,26,,,,83,6.69
WELEETKA JHS,WELEETKA,WELEETKA,OKFUSKEE COUNTY,5,37,24,37,,,,,,61,37,19.6
WELLS MS,CATOOSA,CATOOSA,ROGERS COUNTY,34.7,144,172,,,,,2,,481,,13.92
WELLSTON ES,WELLSTON,WELLSTON,LINCOLN COUNTY,16.2,,,,,,,,78,237,,19.44
WELLSTON HS,WELLSTON,WELLSTON,LINCOLN COUNTY,13.3,,,59,48,49,52,,,,208,15.64
WELLSTON MS,WELLSTON,WELLSTON,LINCOLN COUNTY,10.6,56,38,,,,,,,142,,13.4
WEST FIELD ES,EDMOND,EDMOND,OKLAHOMA COUNTY,36.9,,,,,,,,206,520,,19.67
WEST JHS,OKLAHOMA CITY,OKLAHOMA CITY,CLEVELAND COUNTY,44,323,335,,,,,,,658,,14.95
WEST NICHOLS HILLS ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,17.6,,,,,,,,115,219,,18.98
WESTERN HEIGHTS HS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,61.4,,,233,230,204,193,,,,860,14.01
WESTERN HEIGHTS MS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,52.5,278,235,,,,,,,776,,14.78
WESTERN OAKS ES,BETHANY,BETHANY,OKLAHOMA COUNTY,42.8,,,,,,,,154,483,,14.88
WESTERN OAKS MS,BETHANY,BETHANY,OKLAHOMA COUNTY,42.3,197,189,,,,,,,617,,14.59
WESTMOORE HS,OKLAHOMA CITY,OKLAHOMA CITY,CLEVELAND COUNTY,119.7,,,539,499,491,421,,,,1950,16.29
WESTSIDE ES,CLAREMORE,CLAREMORE,ROGERS COUNTY,36.5,,,,,,,,197,517,,19.56
WESTVILLE ES,WESTVILLE,WESTVILLE,ADAIR COUNTY,40.2,,,,,,,,160,510,,16.67
WESTVILLE HS,WESTVILLE,WESTVILLE,ADAIR COUNTY,25.1,,,104,89,75,84,,,,352,14.02
WESTVILLE JHS,WESTVILLE,WESTVILLE,ADAIR COUNTY,14.2,83,82,,,,,,,165,,11.62
WESTWOOD ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,20.1,,,,,,,3,103,251,,17.76
WESTWOOD ES,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,28.1,,,,,,,,143,352,,17.62
WESTWOOD ES,STILLWATER,STILLWATER,PAYNE COUNTY,31.5,,,,,,,,156,417,,18.19
WETUMKA ES,WETUMKA,WETUMKA,HUGHES COUNTY,25,34,32,,,,,,77,272,,13.96
WETUMKA HS,WETUMKA,WETUMKA,HUGHES COUNTY,11.4,,,29,34,32,30,,,,125,10.96
WEWOKA ES,WEWOKA,WEWOKA,SEMINOLE COUNTY,40.1,50,53,,,,,,103,425,,13.17
WEWOKA HS,WEWOKA,WEWOKA,SEMINOLE COUNTY,13.5,,,53,48,32,53,,,,186,13.78
WHEELER ES,OKC,OKLAHOMA CITY,OKLAHOMA COUNTY,31.5,,,,,,,,148,392,,17.14
WHITE OAK PUBLIC SCHOOL,VINITA,VINITA,CRAIG COUNTY,7.8,149,161,,,,,,12,1012,,131.28
WHITE ROCK PUBLIC SCHOOL,MCLOUD,MCLOUD,POTTAWATOMIE COUNTY,9.5,14,16,,,,,,34,109,,15.05
WHITEBEAD PUBLIC SCHOOL,PAULS VALLEY,PAULS VALLEY,GARVIN COUNTY,26.3,46,33,,,,,,79,336,,15.78
WHITEFIELD PUBLIC SCHOOL,WHITEFIELD,WHITEFIELD,HASKELL COUNTY,7.7,11,11,,,,,,38,107,,18.83
WHITESBORO ES,WHITESBORO,WHITESBORO,LE FLORE COUNTY,12.2,13,17,,,,,,22,98,,9.84
WHITESBORO HS,WHITESBORO,WHITESBORO,LE FLORE COUNTY,5.7,,,18,16,18,15,,,,67,11.75
WHITMAN ES,TULSA,TULSA,TULSA COUNTY,16.9,,,,,,,,62,182,,14.44
WHITNEY MS,TULSA,TULSA,TULSA COUNTY,43.3,229,189,,,,,,,651,,15.03
WHITTIER ES,MUSKOGEE,MUSKOGEE,MUSKOGEE COUNTY,21,,,,,,,,56,296,,16.76
WHITTIER ES,LAWTON,LAWTON,COMANCHE COUNTY,15.4,,,,,,,,36,190,,14.68
WHITTIER MS,NORMAN,NORMAN,CLEVELAND COUNTY,56.9,369,355,,,,,,,1074,,18.88
WICKLIFFE PUBLIC SCHOOL,SALINA,SALINA,MAYES COUNTY,10.5,8,9,,,,,,28,113,,13.43
WILBURTON ES,WILBURTON,WILBURTON,LATIMER COUNTY,30.4,,,,,,,,127,350,,15.69
WILBURTON HS,WILBURTON,WILBURTON,LATIMER COUNTY,23.7,,,56,78,80,86,,,,300,12.66
WILBURTON MS,WILBURTON,WILBURTON,LATIMER COUNTY,17.9,68,80,,,,,,,242,,13.52
WILEY POST ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,40.6,,,,,,,,136,504,,15.76
WILL ROGERS ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,29.2,,,,,,,,143,365,,17.4
WILL ROGERS ES,STILLWATER,STILLWATER,PAYNE COUNTY,34.5,,,,,,,,159,327,,14.09
WILL ROGERS ES,SHAWNEE,SHAWNEE,POTTAWATOMIE COUNTY,27.7,,,,,,,,,398,,14.37
WILL ROGERS ES,BURNS FLAT,BURNS FLAT,WASHITA COUNTY,34.9,44,48,,,,,,103,389,,14.1
WILL ROGERS ES,ALTUS,ALTUS,JACKSON COUNTY,25.4,,,,,,,,102,249,,13.82
WILL ROGERS ES,ARDMORE,ARDMORE,CARTER COUNTY,28.4,,,,,,,,501,,,17.64
WILL ROGERS ES,VINITA,VINITA,CRAIG COUNTY,22.3,,,,,,,,,333,,14.93
WILL ROGERS ES,EDMOND,EDMOND,OKLAHOMA COUNTY,36.3,,,,,,,,142,490,,17.41
WILL ROGERS ES,MCALESTER,MCALESTER,PITTSBURG COUNTY,27.7,,,,,,,2,1,500,,18.16
WILL ROGERS HS,TULSA,TULSA,TULSA COUNTY,61.8,,,392,246,242,132,,,,1012,16.38
WILL ROGERS JHS,CLAREMORE,CLAREMORE,ROGERS COUNTY,55.9,280,278,,,,,,,862,,15.42
WILL ROGERS MS,MIAMI,MIAMI,OTTAWA COUNTY,35,194,169,,,,,,,564,,16.11
WILL ROGERS PRE-K CTR,DUNCAN,DUNCAN,STEPHENS COUNTY,9.1,,,,,,,,276,,,30.33
WILLARD ES,ADA,ADA,PONTOTOC COUNTY,24.1,,,,,,,1,,388,,16.14
WILLIAM GAY EC CTR,MCALESTER,MCALESTER,PITTSBURG COUNTY,9.1,,,,,,,,162,,,17.8
WILLIAM R. TEAGUE ES,WAGONER,WAGONER,WAGONER COUNTY,26,,,,,,,,,369,,14.19
WILLOW BROOK ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,24.5,,,,,,,1,162,357,,21.22
WILSON ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,20.6,,,,,,,,87,255,,16.6
WILSON ES,NORMAN,NORMAN,CLEVELAND COUNTY,20.9,,,,,,,,74,180,,12.15
WILSON ES,LAWTON,LAWTON,COMANCHE COUNTY,14.4,,,,,,,,50,135,,12.85
WILSON ES,MIAMI,MIAMI,OTTAWA COUNTY,14.2,,,,,,,,38,211,,17.54
WILSON ES,WILSON,WILSON,CARTER COUNTY,19.9,40,27,,,,,,48,284,,16.68
WILSON ES,SEMINOLE,SEMINOLE,SEMINOLE COUNTY,36.3,,,,,,,,240,409,,17.88
WILSON ES,COLLINSVILLE,COLLINSVILLE,TULSA COUNTY,24,,,,,,,,,398,,16.58
WILSON ES,HENRYETTA,HENRYETTA,OKMULGEE COUNTY,13.8,24,18,,,,,3,33,160,,14.2
WILSON HS,HENRYETTA,HENRYETTA,OKMULGEE COUNTY,7.6,,,22,23,20,16,1,,,81,10.79
WILSON HS,WILSON,WILSON,CARTER COUNTY,14,,,27,43,43,21,,,,134,9.57
WILSON MS,TULSA,TULSA,TULSA COUNTY,38.7,212,160,,,,,,,594,,15.35
WILSON SCHOOL,CUSHING,CUSHING,PAYNE COUNTY,5,,,,,,,,119,,,23.8
WINDING CREEK ES,MOORE,MOORE,CLEVELAND COUNTY,38.5,,,,,,,,88,568,,17.04
WINDS WEST ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,37,,,,,,,,181,325,,13.68
WINDSOR HILLS ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,41.7,,,,,,,,162,510,,16.12
WISTER ES,WISTER,WISTER,LE FLORE COUNTY,25,30,39,,,,,,84,339,,16.92
WISTER HS,WISTER,WISTER,LE FLORE COUNTY,11.4,,,48,51,41,40,,,,180,15.79
WOLF CREEK ES,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,29.9,,,,,,,,126,443,,19.03
WOODALL PUBLIC SCHOOL,TAHLEQUAH,TAHLEQUAH,CHEROKEE COUNTY,29.3,43,43,,,,,,103,415,,17.68
WOODLAND ES,FAIRFAX,FAIRFAX,OSAGE COUNTY,13,,,,,,,,54,132,,14.31
WOODLAND HILLS ES,LAWTON,LAWTON,COMANCHE COUNTY,23.5,,,,,,,,70,317,,16.47
WOODLAND HS,FAIRFAX,FAIRFAX,OSAGE COUNTY,6.4,,,29,30,28,45,,,,132,20.63
WOODLAND UPPER ES,RALSTON,FAIRFAX,PAWNEE COUNTY,9.3,23,33,,,,,,,118,,12.69
WOODLANDS ES,PONCA CITY,PONCA CITY,KAY COUNTY,17.5,,,,,,,,93,239,,18.97
WOODLAWN ES,SAPULPA,SAPULPA,CREEK COUNTY,20.6,,,,,,,,92,278,,17.96
WOODROW WILSON ES,BARTLESVILLE,BARTLESVILLE,WASHINGTON COUNTY,32.9,,,,,,,,151,340,,14.92
WOODROW WILSON ES,DUNCAN,DUNCAN,STEPHENS COUNTY,22.9,,,,,,,,69,339,,17.82
WOODWARD EC CTR,WOODWARD,WOODWARD,WOODWARD COUNTY,34.1,,,,,,,29,462,232,,21.2
WOODWARD HS,WOODWARD,WOODWARD,WOODWARD COUNTY,35.5,,,189,133,137,161,8,,,620,17.69
WOODWARD MS,WOODWARD,WOODWARD,WOODWARD COUNTY,33.4,186,177,,,,,4,,532,,16.05
WRIGHT CITY ES,WRIGHT CITY,WRIGHT CITY,MCCURTAIN COUNTY,18.6,,,,,,,,50,197,,13.28
WRIGHT CITY HS,WRIGHT CITY,WRIGHT CITY,MCCURTAIN COUNTY,12.6,,,32,36,32,30,,,,130,10.32
WRIGHT CITY JHS,WRIGHT CITY,WRIGHT CITY,MCCURTAIN COUNTY,3.9,31,25,,,,,,,56,,14.36
WRIGHT ES,TULSA,TULSA,TULSA COUNTY,29.9,,,,,,,,144,273,,13.95
WYANDOTTE ES,WYANDOTTE,WYANDOTTE,OTTAWA COUNTY,23.9,,,,,,,,93,263,,14.9
WYANDOTTE HS,WYANDOTTE,WYANDOTTE,OTTAWA COUNTY,17.7,,,50,72,66,50,7,,,238,13.84
WYANDOTTE MS,WYANDOTTE,WYANDOTTE,OTTAWA COUNTY,14,74,67,,,,,10,,200,,15
WYNNEWOOD HS,WYNNEWOOD,WYNNEWOOD,GARVIN COUNTY,14.4,,,37,57,38,58,,,,190,13.19
WYNNEWOOD MS,WYNNEWOOD,WYNNEWOOD,GARVIN COUNTY,11.5,47,42,,,,,,,178,,15.48
WYNONA ES,WYNONA,WYNONA,OSAGE COUNTY,8.5,11,9,,,,,,13,84,,11.41
WYNONA HS,WYNONA,WYNONA,OSAGE COUNTY,3.2,,,89,51,5,7,,,,152,47.5
YALE ES,YALE,YALE,PAYNE COUNTY,17.3,,,,,,,,53,214,,15.43
YALE HS,YALE,YALE,PAYNE COUNTY,14.4,,,41,34,51,45,,,,171,11.88
YALE JHS,YALE,YALE,PAYNE COUNTY,5.8,36,45,,,,,,,81,,13.97
YARBROUGH ES,GOODWELL,GOODWELL,TEXAS COUNTY,8,5,3,,,,,,15,39,,6.75
YARBROUGH HS,GOODWELL,GOODWELL,TEXAS COUNTY,3.8,,,7,4,8,5,,,,24,6.32
YUKON HS,YUKON,YUKON,CANADIAN COUNTY,118.3,,,572,512,519,519,,,,2122,17.94
ZANEIS PUBLIC SCHOOL,WILSON,WILSON,CARTER COUNTY,18.1,21,25,,,,,,66,227,,16.19
ZION PUBLIC SCHOOL,STILWELL,STILWELL,ADAIR COUNTY,26.7,39,27,,,,,,69,271,,12.73
